Account: 111222333
Date Range: 01/01/2025 - 12/31/2025

Account Trade History
Date,Description,Qty,Amount,Commission,Misc,Balance
01/02/2025,SELL -3 VERTICAL NVDA 100 01/17/2025 200/210 CALL @1.47,-3,441.00,-3.90,-0.10,100437.00
01/02/2025,BOT +18 VERTICAL MSFT 100 02/03/2025 150/145 PUT @4.23,18,-9743.85,-23.40,-0.10,90669.65
01/03/2025,SELL -1 COVERED CALL QQQ 100 02/17/2025 500 CALL @2.51,-1,251.00,-0.65,-0.10,90919.90
01/04/2025,SELL -17 IRON CONDOR AMZN 100 01/25/2025 100/105/90/85 CALL/PUT @1.55,-17,2635.00,-44.20,-0.10,93510.60
01/05/2025,BOT +2 VERTICAL QQQ 100 02/17/2025 200/210 CALL @3.16,2,-632.00,-2.60,-0.10,92875.90
01/05/2025,SELL -4 COVERED CALL AMZN 100 01/29/2025 500 CALL @3.98,-4,1592.00,-2.60,-0.10,94465.20
01/05/2025,BOT +2 IRON CONDOR TSLA 100 01/23/2025 100/105/90/85 CALL/PUT @3.14,2,-628.00,-5.20,-0.10,93831.90
01/07/2025,SELL -20 SHORT PUT AAPL 100 02/18/2025 120 PUT @2.43,-20,4860.00,-13.00,-0.10,98678.80
01/08/2025,BOT +6 COVERED CALL AMZN 100 01/25/2025 500 CALL @0.95,6,-570.00,-3.90,-0.10,98104.80
01/09/2025,BOT +14 COVERED CALL SPY 100 02/05/2025 500 CALL @2.48,14,-6915.84,-9.10,-0.10,91179.76
01/09/2025,BOT +19 VERTICAL TSLA 100 01/28/2025 200/210 CALL @1.09,19,-2071.00,-24.70,-0.10,89083.96
01/09/2025,SELL -16 VERTICAL SPY 100 01/27/2025 150/145 PUT @2.18,-16,3488.00,-20.80,-0.10,92551.06
01/09/2025,BOT +7 VERTICAL QQQ 100 01/24/2025 150/145 PUT @0.96,7,-672.00,-9.10,-0.10,91869.86
01/10/2025,SELL -10 VERTICAL QQQ 100 02/08/2025 200/210 CALL @0.81,-10,810.00,-13.00,-0.10,92666.76
01/12/2025,SELL -5 COVERED CALL META 100 01/22/2025 500 CALL @3.61,-5,1805.00,-3.25,-0.10,94468.41
01/13/2025,BOT +1 COVERED CALL MSFT 100 01/28/2025 500 CALL @1.51,1,-81.97,-0.65,-0.10,94385.69
01/14/2025,BOT +1 VERTICAL QQQ 100 02/12/2025 200/210 CALL @2.78,1,-383.00,-1.30,-0.10,94001.29
01/15/2025,SELL -9 SHORT PUT AAPL 100 02/18/2025 120 PUT @1.08,-9,972.00,-5.85,-0.10,94967.34
01/17/2025,SELL -2 SHORT PUT AAPL 100 01/26/2025 120 PUT @3.69,-2,1198.21,-1.30,-0.10,96164.15
01/19/2025,SELL -15 VERTICAL GOOGL 100 02/13/2025 150/145 PUT @4.00,-15,6000.00,-19.50,-0.10,102144.55
01/21/2025,SELL -16 IRON CONDOR NVDA 100 02/14/2025 100/105/90/85 CALL/PUT @3.02,-16,4832.00,-41.60,-0.10,106934.85
01/21/2025,SELL -14 SHORT PUT SPY 100 02/28/2025 120 PUT @0.90,-14,1260.00,-9.10,-0.10,108185.65
01/21/2025,BOT +14 COVERED CALL NVDA 100 02/20/2025 500 CALL @2.35,14,-6360.44,-9.10,-0.10,101816.01
01/23/2025,BOT +17 VERTICAL TSLA 100 02/05/2025 200/210 CALL @2.74,17,-4658.00,-22.10,-0.10,97135.81
01/24/2025,BOT +10 SHORT PUT AMZN 100 02/11/2025 120 PUT @2.47,10,-3509.16,-6.50,-0.10,93620.05
01/25/2025,BOT +12 VERTICAL NVDA 100 03/08/2025 200/210 CALL @2.54,12,-3857.88,-15.60,-0.10,89746.47
01/26/2025,SELL -15 COVERED CALL TSLA 100 02/09/2025 500 CALL @3.43,-15,5145.00,-9.75,-0.10,94881.62
01/28/2025,SELL -13 SHORT PUT QQQ 100 02/09/2025 120 PUT @3.84,-13,4992.00,-8.45,-0.10,99865.07
01/30/2025,BOT +20 VERTICAL META 100 03/12/2025 200/210 CALL @1.27,20,-2540.00,-26.00,-0.10,97298.97
01/30/2025,BOT +2 VERTICAL AAPL 100 03/03/2025 200/210 CALL @4.92,2,-906.80,-2.60,-0.10,96389.47
01/31/2025,SELL -17 VERTICAL META 100 02/27/2025 200/210 CALL @3.03,-17,12560.32,-22.10,-0.10,108927.59
02/02/2025,BOT +18 COVERED CALL NVDA 100 03/16/2025 500 CALL @2.82,18,-6858.22,-11.70,-0.10,102057.57
02/04/2025,SELL -6 COVERED CALL GOOGL 100 03/20/2025 500 CALL @0.57,-6,342.00,-3.90,-0.10,102395.57
02/04/2025,SELL -7 IRON CONDOR TSLA 100 03/03/2025 100/105/90/85 CALL/PUT @4.98,-7,3486.00,-18.20,-0.10,105863.27
02/06/2025,BOT +6 COVERED CALL AMZN 100 03/09/2025 500 CALL @1.13,6,-1627.04,-3.90,-0.10,104232.23
02/06/2025,BOT +15 SHORT PUT META 100 02/14/2025 120 PUT @1.21,15,-3130.42,-9.75,-0.10,101091.96
02/07/2025,BOT +13 VERTICAL NVDA 100 03/04/2025 150/145 PUT @4.70,13,-13649.42,-16.90,-0.10,87425.54
02/08/2025,SELL -18 IRON CONDOR TSLA 100 03/19/2025 100/105/90/85 CALL/PUT @0.79,-18,1358.40,-46.80,-0.10,88737.04
02/08/2025,BOT +8 IRON CONDOR META 100 03/08/2025 100/105/90/85 CALL/PUT @4.37,8,-3626.34,-20.80,-0.10,85089.80
02/08/2025,SELL -3 VERTICAL NVDA 100 03/20/2025 200/210 CALL @1.29,-3,387.00,-3.90,-0.10,85472.80
02/08/2025,SELL -8 IRON CONDOR SPY 100 02/17/2025 100/105/90/85 CALL/PUT @2.71,-8,1838.63,-20.80,-0.10,87290.53
02/09/2025,SELL -5 IRON CONDOR META 100 03/04/2025 100/105/90/85 CALL/PUT @4.49,-5,4485.15,-13.00,-0.10,91762.58
02/11/2025,SELL -13 VERTICAL TSLA 100 02/28/2025 200/210 CALL @3.90,-13,5070.00,-16.90,-0.10,96815.58
02/11/2025,BOT +3 IRON CONDOR MSFT 100 02/26/2025 100/105/90/85 CALL/PUT @4.39,3,-2110.86,-7.80,-0.10,94696.82
02/11/2025,SELL -11 SHORT PUT GOOGL 100 02/19/2025 120 PUT @3.17,-11,3487.00,-7.15,-0.10,98176.57
02/12/2025,BOT +7 VERTICAL META 100 03/14/2025 150/145 PUT @1.56,7,-1209.43,-9.10,-0.10,96957.94
02/12/2025,SELL -13 VERTICAL QQQ 100 03/05/2025 150/145 PUT @2.61,-13,3393.00,-16.90,-0.10,100333.94
